Marka;Model;Yıl;Kilometre;Kasa_tipi;Motor_gücü;Çekiş;Renk;Fiyat
Nissan;Qashqai;2015;206.000;Crossover;130;Önden Çekiş;Beyaz;1.060.000
Kia;Stonic;2021;33.700;Crossover;100;Önden Çekiş;Yeşil (metalik);1.185.000
Kia;Sportage;2021;45.000;Crossover;132;Önden Çekiş;Mavi (metalik);1.180.000
Fiat;Egea Cross;2023;9.115;Crossover;95;Önden Çekiş;Gri;955.000
Toyota;C-HR;2017;101.000;Crossover;98;Önden Çekiş;Beyaz;1.219.000
Kia;Sportage;2016;87.000;Crossover;132;Önden Çekiş;Şampanya;1.145.000
Honda;CR-V;2015;122.000;Crossover;120;Önden Çekiş;Siyah;1.215.000
Volkswagen;Taigo;2022;22.000;Crossover;110;Önden Çekiş;Lacivert;1.350.000
Fiat;Egea Cross;2023;33.850;Crossover;95;Önden Çekiş;Füme;810.000
Chery;Tiggo 7 Pro;2023;11.805;Crossover;185;Önden Çekiş;Beyaz;1.425.000
Toyota;C-HR;2023;54.500;Crossover;98;Önden Çekiş;Gri (metalik);1.409.000
Chery;Tiggo 7 Pro;2024;6.000;Crossover;185;Önden Çekiş;Gri;1.550.000
Honda;CR-V;2016;123.900;Crossover;160;4WD (Sürekli);Siyah;1.435.000
Hyundai;Tucson;2018;40.000;Crossover;132;Önden Çekiş;Bej;1.425.000
Opel;Mokka;2023;15.000;Crossover;130;Önden Çekiş;Beyaz;1.480.000
Volkswagen;Taigo;2024;6.001;Crossover;110;Önden Çekiş;Bej;1.485.000
Volkswagen;T-Cross;2024;13.500;Crossover;110;Önden Çekiş;Turkuaz;1.500.000
Opel;Mokka;2024;6.500;Crossover;130;Önden Çekiş;Siyah;1.505.000
Toyota;Corolla Cross;2023;41.500;Crossover;140;Önden Çekiş;Gri;1.720.000
TOGG;T10X;2023;14.000;Crossover;218;Arkadan İtiş;Mavi;1.750.000
Volkswagen;T-Roc;2023;55.500;Crossover;150;Önden Çekiş;Bej;1.765.000
Toyota;Corolla Cross;2023;42.000;Crossover;140;Önden Çekiş;Beyaz;2.150.000
Honda;CR-V;2019;45.000;Crossover;193;4WD (Sürekli);Beyaz;1.870.000
Subaru;Forester;2022;67.000;Crossover;150;4WD (Sürekli);Beyaz;2.275.000
Peugeot;3008;2020;58.000;Crossover;132;Önden Çekiş;Gri;1.550.000
Mercedes Bulunamadı Benz;GLC;2024;8.020;Crossover;170;Arkadan İtiş;Beyaz;4.550.000
Volkswagen;Taigo;2023;8.000;Crossover;110;Önden Çekiş;Siyah;1.360.000
Kia;Stonic;2021;16.000;Crossover;84;Önden Çekiş;Siyah;890.111
Nissan;Qashqai;2017;115.000;Crossover;110;Önden Çekiş;Beyaz;1.250.000
Audi;Q3;2023;14.700;Crossover;150;Önden Çekiş;Gri;2.615.000
Toyota;Yaris Cross;2022;10.000;Crossover;125;Önden Çekiş;Beyaz;1.480.000
Hyundai;Bayon;2021;24.000;Crossover;100;Önden Çekiş;Mavi;1.100.000
Fiat;Egea Cross;2023;7.150;Crossover;95;Önden Çekiş;Yeşil;945.000
